Player_Names,Matches_Played,Substitution ,Minutes_Played,Goals,Expected_Goals,xG_Per_Match_Avg,Shots,Shots_On_Target,Shots_Per_Match_Avg,Shots_On_Target_Per_Match_Avg,Year,club_id
Lionel Messi,32,4,3123,33,32.54,0.99,197,95,5.99,2.89,2017,2
Maxi Gomez,35,1,3168,18,18.01,0.54,83,37,2.49,1.11,2017,17
Mikel Oyarzabal,31,4,2864,12,9.35,0.31,65,32,2.16,1.06,2017,3
Willian Josa,32,2,2869,15,13.89,0.46,89,29,2.95,0.96,2017,20
Simone Zaza,23,10,2163,13,12.07,0.53,73,24,3.21,1.05,2017,3
Cristiano Ronaldo,27,0,2375,26,29,1.16,178,76,7.12,3.04,2017,4
Portu ,35,2,3081,11,10.7,0.33,49,25,1.51,0.77,2017,3
Gerard Moreno,38,0,3555,16,17.96,0.48,105,47,2.81,1.26,2017,18
Cristhian Stuani,32,1,2785,21,20.52,0.7,74,37,2.52,1.26,2017,19
Carlos Bacca,30,5,2572,15,14.35,0.53,73,34,2.7,1.26,2017,18
Santi Mina,17,15,1630,12,9.44,0.55,43,20,2.51,1.17,2017,5
Morales ,35,0,3180,10,10.71,0.32,61,25,1.82,0.75,2017,14
Munir ,28,5,2517,10,10.6,0.4,62,23,2.34,0.87,2017,19
Jose Callejon,38,0,3359,10,10.25,0.29,64,32,1.81,0.91,2017,26
Sergej Milinkovic-Savic,33,2,3014,12,6.66,0.21,91,34,2.87,1.07,2017,22
Duvan Zapata,24,7,2229,11,9.39,0.4,57,22,2.43,0.94,2017,25
Paulo Dybala,26,7,2407,22,11.4,0.45,114,45,4.5,1.78,2017,30
Gonzalo Higuain,32,3,2935,16,12.05,0.39,102,40,3.3,1.29,2017,37
Mirco Antenucci,28,5,2735,11,8.06,0.28,65,26,2.26,0.9,2017,27
Fabio Quagliarella,33,2,2864,19,17.79,0.59,113,46,3.75,1.53,2017,31
Luis Alberto,32,2,2797,11,6.77,0.23,81,25,2.75,0.85,2017,22
Roberto Inglese,33,1,2914,12,9.82,0.32,76,37,2.48,1.21,2017,38
Andrea Belotti,29,3,2854,10,11.72,0.39,86,28,2.86,0.93,2017,32
Josip Ilicic,21,10,2115,11,8.24,0.37,89,36,4,1.62,2017,25
Giovanni Simeone,36,2,3157,14,13.29,0.4,107,37,3.22,1.11,2017,28
Ivan Perisic,37,0,3491,11,9.19,0.25,116,38,3.16,1.03,2017,33
Edin Dzeko,33,3,3177,16,16.39,0.49,152,56,4.55,1.67,2017,30
Leonardo Pavoletti,31,2,2897,11,11.28,0.37,87,34,2.85,1.11,2017,28
Ciro Immobile,33,0,2799,29,19.15,0.65,110,53,3.73,1.8,2017,22
Dries Mertens,35,3,3133,18,16.16,0.49,128,47,3.88,1.43,2017,24
Mauro Icardi,34,0,3096,29,23.14,0.71,101,53,3.1,1.63,2017,33
Kevin Lasagna,26,3,2244,12,11.34,0.48,72,31,3.05,1.31,2017,36
Iago Falque,34,3,2950,12,9.01,0.29,76,22,2.45,0.71,2017,27
Robert Lewandowski,24,6,2247,29,26.49,1.12,127,54,5.37,2.28,2017,42
Niclas Fullkrug,26,8,2507,14,12.14,0.46,87,33,3.3,1.25,2017,52
Guido Burgstaller,24,8,2447,11,8.24,0.32,55,25,2.14,0.97,2017,54
Salomon Kalou,27,4,2272,12,9.33,0.39,50,23,2.09,0.96,2017,55
Thorgan Hazard,33,1,3062,10,12.89,0.4,87,33,2.7,1.02,2017,56
Jean-Kevin Augustin,14,11,1330,9,6.16,0.44,37,18,2.64,1.29,2017,44
Serge Gnabry,20,2,1555,10,5.57,0.34,49,23,2.99,1.41,2017,42
Andrej Kramaric,22,12,2353,13,9.66,0.39,83,35,3.35,1.41,2017,43
Nils Petersen,24,8,2362,15,11.93,0.48,63,24,2.53,0.97,2017,46
Sandro Wagner ,18,7,1666,12,10,0.57,55,26,3.14,1.48,2017,55
Timo Werner,28,4,2596,13,13.39,0.49,95,40,3.48,1.46,2017,45
Leon Bailey,25,5,2317,9,7.56,0.31,76,27,3.12,1.11,2017,53
Daniel Didavi,26,4,2312,9,3.89,0.16,55,19,2.26,0.78,2017,54
Alfred Finnbogason,22,0,1879,12,11.08,0.56,51,25,2.58,1.26,2017,44
Davie Selke,19,8,1974,10,8.1,0.39,47,22,2.26,1.06,2017,48
Mark Uth,24,7,2279,14,9.84,0.41,54,21,2.25,0.88,2017,47
Michael Gregoritsch,30,2,2626,13,10.78,0.39,92,36,3.33,1.3,2017,44
Julian Brandt,26,8,2419,9,6.37,0.25,43,22,1.69,0.86,2017,56
Kevin Volland,30,1,2693,14,8.79,0.31,55,28,1.94,0.99,2017,51
Pierre-Emerick Aubameyang,16,0,1480,13,16.36,1.05,58,27,3.72,1.73,2017,56
Roger ,19,1,1465,11,8.64,0.56,47,20,3.05,1.3,2017,83
Arthur Caike,34,0,2824,8,7.73,0.26,85,25,2.86,0.84,2017,84
Everton ,14,18,1224,8,9.53,0.74,54,30,4.19,2.33,2017,80
Hernanes ,19,0,1222,9,5.27,0.41,52,23,4.04,1.79,2017,81
Luiz Fernando,21,7,1792,9,6.04,0.32,54,22,2.86,1.17,2017,85
Wellington Paulista,30,3,2278,9,9.35,0.39,63,30,2.63,1.25,2017,92
Fred ,27,2,1865,12,12.56,0.64,57,24,2.9,1.22,2017,87
Santiago Trellez,23,0,1694,10,7.67,0.43,53,20,2.97,1.12,2017,91
Jo,34,0,2847,18,16.78,0.56,80,39,2.67,1.3,2017,88
Thiago Neves,30,3,2383,9,10.54,0.42,102,51,4.07,2.03,2017,89
Bruno Henrique,28,0,2136,8,10.57,0.47,52,24,2.31,1.07,2017,95
Dudu ,23,3,1751,10,6.82,0.37,45,23,2.44,1.25,2017,94
Diego ,24,3,2089,10,7.92,0.36,56,22,2.55,1,2017,85
Diego Souza,26,1,1953,11,11.72,0.57,74,30,3.6,1.46,2017,79
Lucca ,37,0,2933,13,11.11,0.36,96,40,3.11,1.3,2017,87
Henrique Dourado,32,0,2472,19,14.83,0.57,65,37,2.5,1.42,2017,93
